video_id,likes,dislikes,comment_count,thumbnail_link
qc_z4a00cCQ,36173,1587,2642,https://i.ytimg.com/vi/qc_z4a00cCQ/default.jpg
WqMOHepSpkU,2412,283,1044,https://i.ytimg.com/vi/WqMOHepSpkU/default.jpg
TbfxmTQkLAE,208521,8489,11579,https://i.ytimg.com/vi/TbfxmTQkLAE/default.jpg
BsjQqm60ZEI,129667,856,4299,https://i.ytimg.com/vi/BsjQqm60ZEI/default.jpg
kqbJCW-jxYM,5819,598,2815,https://i.ytimg.com/vi/kqbJCW-jxYM/default.jpg
UNtOI5RzCek,4008,54,646,https://i.ytimg.com/vi/UNtOI5RzCek/default.jpg
90IJanuV_0M,18099,262,886,https://i.ytimg.com/vi/90IJanuV_0M/default.jpg
S0A4hBJHND4,83,108,74,https://i.ytimg.com/vi/S0A4hBJHND4/default.jpg
uT3wso5Zp7k,1322,68,68,https://i.ytimg.com/vi/uT3wso5Zp7k/default.jpg
WhLvS5GTK3E,9314,654,523,https://i.ytimg.com/vi/WhLvS5GTK3E/default.jpg
PFDElc5sfSM,41114,636,2720,https://i.ytimg.com/vi/PFDElc5sfSM/default.jpg
7JMV6iBlXFo,10235,311,311,https://i.ytimg.com/vi/7JMV6iBlXFo/default.jpg
Xc4xYacTu-E,226648,3372,28700,https://i.ytimg.com/vi/Xc4xYacTu-E/default.jpg
L_u97PqWX6g,211873,12903,10619,https://i.ytimg.com/vi/L_u97PqWX6g/default.jpg
W4CB5SeBGkI,87577,2199,8395,https://i.ytimg.com/vi/W4CB5SeBGkI/default.jpg
rnhlTS8RgUM,27028,577,1623,https://i.ytimg.com/vi/rnhlTS8RgUM/default.jpg
fMbuWa-OdN8,7220,451,0,https://i.ytimg.com/vi/fMbuWa-OdN8/default.jpg
U0yo2XqufgU,12431,171,524,https://i.ytimg.com/vi/U0yo2XqufgU/default.jpg
kRDb2X3gFmo,2764,271,440,https://i.ytimg.com/vi/kRDb2X3gFmo/default.jpg
O8nZrqbHwaA,4924,147,292,https://i.ytimg.com/vi/O8nZrqbHwaA/default.jpg
lYN26wt1lJQ,24418,570,926,https://i.ytimg.com/vi/lYN26wt1lJQ/default.jpg
l9Rwc7-p5uA,13372,454,1010,https://i.ytimg.com/vi/l9Rwc7-p5uA/default.jpg
Hw2e2XS9Wmc,10160,501,702,https://i.ytimg.com/vi/Hw2e2XS9Wmc/default.jpg
nVzA1uWTydQ,413512,8120,19807,https://i.ytimg.com/vi/nVzA1uWTydQ/default.jpg
676hNIhKO2M,47309,1408,2407,https://i.ytimg.com/vi/676hNIhKO2M/default.jpg
#NAME?,30058,494,955,https://i.ytimg.com/vi/-crLmRLgeNE/default.jpg
zN_DJ3c2N28,14811,251,936,https://i.ytimg.com/vi/zN_DJ3c2N28/default.jpg
Plh2sfrbdlc,13990,93,1115,https://i.ytimg.com/vi/Plh2sfrbdlc/default.jpg
25ibuwW4Dm4,8023,373,2632,https://i.ytimg.com/vi/25ibuwW4Dm4/default.jpg
twjTkBN3Q9A,27245,931,4899,https://i.ytimg.com/vi/twjTkBN3Q9A/default.jpg
tpyQLIpv4Yk,48822,408,5571,https://i.ytimg.com/vi/tpyQLIpv4Yk/default.jpg
