3078660,117658,13802,11933
6451949,150016,2976,26863
8072982,174945,6413,9529
1158594,25081,513,3934
7797259,94546,8233,17122
125720,5500,152,430
571709,4100,765,1163
1988921,24681,1182,1399
727484,27620,6825,9025
490197,33047,721,2352
1593275,61135,10680,16283
175831,6771,65,547
4716036,395289,3925,19741
4340962,396790,11280,41890
582019,17558,1212,933
120042,9035,21,566
57648,1722,55,148
188715,1291,60,513
615435,3824,258,323
123162,2882,464,2369
5158539,926887,3814,79570
2312628,148859,3720,13940
3058843,44741,1645,2858
176380,12369,367,1285
149407,4939,162,366
756962,22854,2983,2902
379172,5794,244,360
1448352,76717,1017,4539
914063,31150,1471,9449
372468,13355,803,2119
1815234,18594,1076,1771
686170,32999,654,4597
2003729,93297,986,15120
1274705,88300,1183,3638
68308,2825,81,141
578964,22899,1192,3391
759465,33415,816,1735
799694,19416,860,6617
70553,2956,88,695
1836995,48570,2523,10096
1397045,67188,3945,644
384420,12145,504,787
932432,64819,409,5122
141137,1640,115,391
57610,440,63,357
525327,16698,188,1212
106139,3468,69,1803
283337,2588,47,235
2635714,87053,1330,4600
128804,5369,336,1179
625607,34952,705,1766
191172,6975,244,201
411312,27388,276,3354
441164,36355,560,2482
112967,5896,524,1066
127535,5146,125,275
84488,4493,48,291
274119,7290,132,520
674220,40478,613,2430
100209,3869,155,360
37316,1950,52,484
210266,3759,107,270
120991,1060,42,377
63841,4226,114,481
93284,4478,16,226
92106,5791,67,3664
67653,1142,510,1371
3903013,219848,4307,13620
92342,4797,74,373
106411,3563,137,282
804818,22669,546,1469
290798,1713,514,1298
252084,12712,240,634
94385,414,43,53
68611,1899,74,82
43009,2017,15,167
78506,1216,42,266
26448434,911883,53873,127481
37533,2150,87,357
138167,804,44,520
141238,1415,161,465
86108,1257,103,257
8151265,61099,11644,7674
192498,4785,158,1004
1907912,18641,1741,1771
27299,2608,11,163
50205,1631,74,144
94885,2444,192,357
116936,20701,54,1004
145403,4532,173,329
1255861,60811,672,0
101741,2803,134,230
24274,601,12,32
145885,7921,61,601
31826,2585,17,134
73301,744,136,116
56525948,1951955,28149,94646
1848200,50976,1300,2213
26467,1160,18,85
20505804,270756,22630,13589
225960,2851,181,289
67030,333,30,78
236932,1077,26,161
8907425,322516,5280,12460
391734,10697,337,564
1427749,31071,1137,1245
18127,1165,16,159
11942678,176515,15905,7531
288083,1874,144,346
1116271,35689,717,1577
431663,10264,3217,3430
2369461,104612,12945,12136
2534865,98148,1404,6426
838146,13484,2305,1153
105704,5475,365,483
254522,11190,133,675
2803410,77126,1972,3585
3802043,221951,3619,20752
145915,1754,47,214
1715094,55059,1612,6117
4039889,329175,2732,12506
5881,329,27,85
125601,5437,93,322
538841,56722,202,3077
170798,6490,59,410
2841037,80775,3237,5106
81074,2042,216,348
121702,5232,30,798
437201,5011,183,198
535958,21056,300,989
210797,9561,118,349
5190,50,10,16
162796,9593,77,991
289800,11537,220,1632
59990,968,14,64
194706,4149,308,350
239883,1952,100,448
377430,23687,758,1537
119094,6265,246,355
1531183,90173,2940,1211
11871575,861732,18102,60987
673269,5637,205,462
246772,15282,424,1128
49077,50,12,97
1566,89,12,40
2886628,9250,1000,1416
322337,16234,408,999
84975,2111,84,212
933138,40107,250,1665
3349074,97177,2895,7524
340211,17737,160,959
880510,27270,2091,5285
97772,910,52,188
66273,943,244,1058
407878,511,112,135
137434,6129,57,265
109494,5219,105,272
183619,303,10,64
42305,399,63,33
1121888,38483,613,6735
301781,12006,353,527
242989,10607,141,1211
592406,426,59,46
410639,1861,132,275
748307,0,0,0
959511,37576,2323,14491
157595,5843,42,554
267369,6749,392,316
30301,1142,37,110
